384 Plate ID,Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit,Well X,Well Y
Crews_Natural_Products,SP90107,A01,DMSO_A01,DMSO_A01,,,1,1
Crews_Natural_Products,SP90107,A02,DMSO_A02,DMSO_A02,,,2,1
Crews_Natural_Products,SP90107,B01,DMSO_B01,DMSO_B01,,,1,2
Crews_Natural_Products,SP90107,B02,DMSO_B02,DMSO_B02,,,2,2
Crews_Natural_Products,SP90107,B03,CO-Crude_rep1,CO-Crude_rep2,10,mg/ml,3,2
Crews_Natural_Products,SP90107,B04,CO-Crude_rep2,CO-Crude_rep3,10,mg/ml,4,2
Crews_Natural_Products,SP90107,B05,SG_Crude_rep1,SG_Crude_rep1,10,mg/ml,5,2
Crews_Natural_Products,SP90107,B06,SG_Crude_rep2,SG_Crude_rep2,10,mg/ml,6,2
Crews_Natural_Products,SP90107,B07,PCA_rep1,PCA_rep1,10,mg/ml,7,2
Crews_Natural_Products,SP90107,B08,PCA_rep2,PCA_rep2,10,mg/ml,8,2
Crews_Natural_Products,SP90107,B09,ISO_SCHF_rep1,ISO_SCHF_rep1,10,mg/ml,9,2
Crews_Natural_Products,SP90107,B10,ISO_SCHF_rep2,ISO_SCHF_rep2,10,mg/ml,10,2
Crews_Natural_Products,SP90107,C01,DMSO_C01,DMSO_C01,,,1,3
Crews_Natural_Products,SP90107,C02,DMSO_C02,DMSO_C02,,,2,3
Crews_Natural_Products,SP90107,C03,CO_Hexane_rep1,CO_Hexane_rep1,10,mg/ml,3,3
Crews_Natural_Products,SP90107,C04,CO_Hexane_rep2,CO_Hexane_rep2,10,mg/ml,4,3
Crews_Natural_Products,SP90107,C05,SG_Hexane_rep1,SG_Hexane_rep1,10,mg/ml,5,3
Crews_Natural_Products,SP90107,C06,SG_Hexane_rep2,SG_Hexane_rep2,10,mg/ml,6,3
Crews_Natural_Products,SP90107,C07,QRT_rep1,QRT_rep1,10,mg/ml,7,3
Crews_Natural_Products,SP90107,C08,QRT_rep2,QRT_rep2,10,mg/ml,8,3
Crews_Natural_Products,SP90107,C09,SCHF_rep1,SCHF_rep1,10,mg/ml,9,3
Crews_Natural_Products,SP90107,C10,SCHF_rep2,SCHF_rep2,10,mg/ml,10,3
Crews_Natural_Products,SP90107,D01,DMSO_D01,DMSO_D01,,,1,4
Crews_Natural_Products,SP90107,D02,DMSO_D02,DMSO_D02,,,2,4
Crews_Natural_Products,SP90107,D03,CO_CHCL3_rep1,CO_CHCL3_rep1,10,mg/ml,3,4
Crews_Natural_Products,SP90107,D04,CO_CHCL3_rep2,CO_CHCL3_rep2,10,mg/ml,4,4
Crews_Natural_Products,SP90107,D05,SG_CHCL3_rep1,SG_CHCL3_rep1,10,mg/ml,5,4
Crews_Natural_Products,SP90107,D06,SG_CHCL3_rep2,SG_CHCL3_rep2,10,mg/ml,6,4
Crews_Natural_Products,SP90107,D07,QRT_GLC_rep1,QRT_GLC_rep1,10,mg/ml,7,4
Crews_Natural_Products,SP90107,D08,QRT_GLC_rep2,QRT_GLC_rep2,10,mg/ml,8,4
Crews_Natural_Products,SP90107,D09,Neo_SCHF_rep1,Neo_SCHF_rep1,10,mg/ml,9,4
Crews_Natural_Products,SP90107,D10,Neo_SCHF_rep2,Neo_SCHF_rep2,10,mg/ml,10,4
Crews_Natural_Products,SP90107,E01,DMSO_E01,DMSO_E01,,,1,5
Crews_Natural_Products,SP90107,E02,DMSO_E02,DMSO_E02,,,2,5
Crews_Natural_Products,SP90107,E03,CO_EtOAc_rep1,CO_EtOAc_rep1,10,mg/ml,3,5
Crews_Natural_Products,SP90107,E04,CO_EtOAc_rep2,CO_EtOAc_rep2,10,mg/ml,4,5
Crews_Natural_Products,SP90107,E05,SG_EtOAc_rep1,SG_EtOAc_rep1,10,mg/ml,5,5
Crews_Natural_Products,SP90107,E06,SG_EtOAc_rep2,SG_EtOAc_rep2,10,mg/ml,6,5
Crews_Natural_Products,SP90107,E07,ISRT_GLC_rep1,ISRT_GLC_rep1,10,mg/ml,7,5
Crews_Natural_Products,SP90107,E08,ISRT_GLC_rep2,ISRT_GLC_rep2,10,mg/ml,8,5
Crews_Natural_Products,SP90107,E09,p-Coum_rep1,p-Coum_rep1,10,mg/ml,9,5
Crews_Natural_Products,SP90107,E10,p-Coum_rep2,p-Coum_rep2,10,mg/ml,10,5
Crews_Natural_Products,SP90107,F01,DMSO_F01,DMSO_F01,,,1,6
Crews_Natural_Products,SP90107,F02,DMSO_F02,DMSO_F02,,,2,6
Crews_Natural_Products,SP90107,F03,CO_Butanol_rep1,CO_Butanol_rep1,10,mg/ml,3,6
Crews_Natural_Products,SP90107,F04,CO_Butanol_rep2,CO_Butanol_rep2,10,mg/ml,4,6
Crews_Natural_Products,SP90107,F05,SG_Butanol_rep1,SG_Butanol_rep1,10,mg/ml,5,6
Crews_Natural_Products,SP90107,F06,SG_Butanol_rep2,SG_Butanol_rep2,10,mg/ml,6,6
Crews_Natural_Products,SP90107,F07,UA_rep1,UA_rep1,10,mg/ml,7,6
Crews_Natural_Products,SP90107,F08,UA_rep2,UA_rep2,10,mg/ml,8,6
Crews_Natural_Products,SP90107,F09,FRA_rep1,FRA_rep1,10,mg/ml,9,6
Crews_Natural_Products,SP90107,F10,FRA_rep2,FRA_rep2,10,mg/ml,10,6
Crews_Natural_Products,SP90107,G01,DMSO_G01,DMSO_G01,,,1,7
Crews_Natural_Products,SP90107,G02,DMSO_G02,DMSO_G02,,,2,7
Crews_Natural_Products,SP90107,G03,CO_H2O_rep1,CO_H2O_rep1,10,mg/ml,3,7
Crews_Natural_Products,SP90107,G04,CO_H2O_rep2,CO_H2O_rep2,10,mg/ml,4,7
Crews_Natural_Products,SP90107,G05,SG_H2O_rep1,SG_H2O_rep1,10,mg/ml,5,7
Crews_Natural_Products,SP90107,G06,SG_H2O_rep2,SG_H2O_rep2,10,mg/ml,6,7
Crews_Natural_Products,SP90107,G07,DMSO_G07,DMSO_G07,,,7,7
Crews_Natural_Products,SP90107,G08,DMSO_G08,DMSO_G08,,,8,7
Crews_Natural_Products,SP90107,G09,DMSO_G09,DMSO_G09,,,9,7
Crews_Natural_Products,SP90107,G10,DMSO_G10,DMSO_G10,,,10,7
Crews_Natural_Products,SP90107,H01,DMSO_H01,DMSO_H01,,,1,8
Crews_Natural_Products,SP90107,H02,DMSO_H02,DMSO_H02,,,2,8
